,Active Ingredients,UID,Brand Name
340,Hydroquinone; Tretinoin; Hydrocortisone,A1340,NA
341,Hydroquinone; Tretinoin; Triamcinolone Acetonide,A1341,NA
342,Hydroquinone; Triamcinolone Acetonide; Tretinoin,A1342,NA
343,Hydroxocobalamin,A1343,NA
344,Hydroxocobalamin Hydrochloride,A1344,NA
345,Hydroxocobalamin Hydrochloride; Niacinamide; Carnitine; Pyridoxine Hydrochloride; Inositol; Choline Chloride; Riboflavin 5'-Phosphate Sodium; Thiamine Hydrochloride,A1345,NA
346,Hydroxychloroquine Sulfate,A1346,NA
347,"Hydroxypropyl Cellulose, Unspecified; Cantharidin; Salicylic Acid",A1347,NA
348,Ibuprofen; Salicylic Acid; Cimetidine,A1348,NA
349,Ibutamoren Mesylate,A1349,NA
350,Idoxuridine,A1350,NA
351,Imiquimod; Hyaluronic Acid; Niacinamide; Calcipotriene,A1351,NA
352,Imiquimod; Levocetirizine Dihydrochloride; Tretinoin,A1352,NA
353,Imiquimod; Niacinamide,A1353,NA
354,Imiquimod; Niacinamide; Levocetirizine Dihydrochloride,A1354,NA
355,Imiquimod; Salicylic Acid; Tretinoin,A1355,NA
356,Imiquimod; Tretinoin,A1356,NA
357,Inositol; Choline Chloride; Methionine,A1357,NA
358,Inositol; Choline Chloride; Methionine; Cyanocobalamin,A1358,NA
359,Inositol; Choline Chloride; Methionine; Levocarnitine; Thiamine Hydrochloride; Dexpanthenol,A1359,NA
360,Iodine,A1360,NA
361,Iohexol,A1361,NA
362,Iopamidol,A1362,NA
363,Ipamorelin,A1363,NA
364,Ipamorelin; Cjc-1295,A1364,NA
365,Ipamorelin; Growth Hormone-Releasing Hormone Receptor,A1365,NA
366,Ipamorelin; Sermorelin Acetate,A1366,NA
367,"Isoleucine, Dl-; Leucine, Dl-; Valine, Dl-",A1367,NA
368,Isoleucine; Alanine; Glycine; Phenylalanine; Tryptophan; Valine; Calcium Gluconate Monohydrate; Glutamic Acid; Lysine Acetate; Serine; Tyrosine; N-Acetyltyrosine; Threonine; Cysteine Hydrochloride; Dextrose Monohydrate; Histidine; Arginine; Taurine; Leucine; Methionine; Proline; Aspartic Acid,A1368,NA
369,Isoleucine; Alanine; Glycine; Phenylalanine; Tryptophan; Valine; Calcium Gluconate Monohydrate; Glutamic Acid; Lysine Acetate; Serine; Tyrosine; N-Acetyltyrosine; Threonine; Cysteine Hydrochloride; Histidine; Arginine; Taurine; Dextrose Monohydrate; Leucine; Methionine; Proline; Aspartic Acid,A1369,NA
370,Isopropyl Alcohol,A1370,NA
371,Isoproterenol Hydrochloride,A1371,NA
372,Isosulfan Blue,A1372,NA
373,Ketamine,A1373,NA
374,Ketamine Hydrochloride,A1374,NA
375,Ketamine Hydrochloride; Ketorolac; Bupivacaine Hydrochloride,A1375,NA
376,Ketoconazole; Amikacin Sulfate; Triamcinolone Acetonide,A1376,NA
377,Ketoconazole; Enrofloxacin; Triamcinolone Acetonide,A1377,NA
378,Ketoconazole; Fluocinolone Acetonide; Sulfacetamide Sodium,A1378,NA
379,Ketoconazole; Gentamicin Sulfate; Triamcinolone Acetonide,A1379,NA
380,Ketoconazole; Niacinamide,A1380,NA
381,Ketoprofen,A1381,NA
382,Ketorolac Tromethamine,A1382,NA
383,Ketorolac Tromethamine; Phenylephrine Hydrochloride; Tropicamide; Cyclopentolate Hydrochloride,A1383,NA
384,Ketorolac Tromethamine; Racepinephrine Hydrochloride; Clonidine Hydrochloride; Ropivacaine Hydrochloride,A1384,NA
385,Ketorolac Tromethamine; Ropivacaine Hydrochloride; Epinephrine; Clonidine Hydrochloride,A1385,NA
386,Ketorolac Tromethamine; Tropicamide Hydrochloride; Phenylephrine Hydrochloride; Cyclopentolate Hydrochloride,A1386,NA
387,Labetalol Hydrochloride,A1387,NA
388,Lactic Acid; Fluocinolone Acetonide; Hyaluronic Acid; Urea,A1388,NA
389,Lactic Acid; Salicylic Acid,A1389,NA
390,Lactic Acid; Urea,A1390,NA
391,"Lecithin, Soybean",A1391,NA
392,"Lecithin, Soybean; Sodium Desoxycholate",A1392,NA
393,"Leucine, Dl-; Valine, Dl-; Isoleucine, Dl-",A1393,NA
394,Leucine; Methionine; Proline; Aspartic Acid; Isoleucine; Alanine; Glycine; Phenylalanine; Tryptophan; Valine; Heparin Sodium; Lysine Acetate; Serine; Glutamic Acid; Tyrosine; N-Acetyltyrosine; Threonine; Cysteine Hydrochloride; Histidine; Arginine; Taurine; Dextrose Monohydrate; Calcium Gluconate Monohydrate,A1394,NA
395,Leucine; Methionine; Proline; Aspartic Acid; Isoleucine; Alanine; Glycine; Phenylalanine; Tryptophan; Valine; Heparin Sodium; Lysine Acetate; Serine; Threonine; Glutamic Acid; Tyrosine; N-Acetyltyrosine; Cysteine Hydrochloride; Histidine; Arginine; Taurine; Dextrose Monohydrate; Calcium Gluconate Monohydrate,A1395,NA
396,Leuprolide Acetate,A1396,NA
397,Levocarnitine,A1397,NA
398,Levocetirizine Dihydrochloride; Clobetasol Propionate,A1398,NA
399,Lidocaine,A1399,NA
400,Lidocaine Hydrochloride,A1400,NA
401,Lidocaine Hydrochloride Anhydrous,A1401,NA
402,Lidocaine Hydrochloride Anhydrous; Lidocaine Hydrochloride,A1402,NA
403,Lidocaine Hydrochloride; Bupivacaine Hydrochloride,A1403,NA
404,Lidocaine Hydrochloride; Bupivacaine Hydrochloride; Hyaluronidase,A1404,NA
405,Lidocaine Hydrochloride; Epinephrine,A1241,NA
406,Lidocaine Hydrochloride; Epinephrine Bitartrate; Tetracaine Hydrochloride,A1406,NA
407,Lidocaine Hydrochloride; Epinephrine Hydrochloride,A1241,NA
408,Lidocaine Hydrochloride; Hyaluronidase,A1408,NA
409,Lidocaine Hydrochloride; Hyoscyamine Sulfate,A1409,NA
410,Lidocaine Hydrochloride; Medroxyprogesterone Acetate,A1410,NA
411,Lidocaine Hydrochloride; Oxymetazoline Hydrochloride,A1411,NA
412,Lidocaine Hydrochloride; Phenylephrine Hydrochloride,A1412,NA
413,Lidocaine Hydrochloride; Prilocaine Hydrochloride; Tetracaine Hydrochloride; Phenylephrine Hydrochloride,A1413,NA
414,Lidocaine Hydrochloride; Sodium Bicarbonate; Calcium Chloride; Sodium Chloride; Sodium Gluconate; Sodium Acetate; Potassium Chloride; Magnesium Chloride; Dextrose Monohydrate,A1414,NA
415,Lidocaine Hydrochloride; Sodium Bicarbonate; Sodium Acetate; Potassium Chloride; Magnesium Chloride; Sodium Chloride; Sodium Gluconate,A1415,NA
416,Lidocaine Hydrochloride; Tetracaine,A1416,NA
417,Lidocaine Hydrochloride; Tetracaine Hydrochloride,A1416,NA
418,Lidocaine Hydrochloride; Tetracaine Hydrochloride; Epinephrine Bitartrate,A1418,NA
419,Lidocaine Hydrochloride; Tetracaine Hydrochloride; Phenylephrine Hydrochloride,A1419,NA
420,Lidocaine Hydrochloride; Tetracaine Hydrochloride; Prilocaine Hydrochloride,A1420,NA
421,Lidocaine Hydrochloride; Tetracaine Hydrochloride; Racepinephrine Hydrochloride,A1421,NA
422,Lidocaine Hydrochloride; Tetracaine; Epinephrine,A1422,NA
423,Lidocaine Hydrochloride; Triamcinolone Acetonide,A1423,NA
424,Lidocaine; Benzocaine; Tetracaine,A1070,NA
425,Lidocaine; Benzocaine; Tetracaine Hydrochloride,A1070,NA
426,Lidocaine; Bupivacaine,A1426,NA
427,Lidocaine; Bupivacaine; Hyaluronidase,A1427,NA
428,Lidocaine; Dibucaine Hydrochloride; Phenylephrine Hydrochloride; Prilocaine,A1428,NA
429,Lidocaine; Hyaluronidase; Bupivacaine,A1429,NA
430,Lidocaine; Hyaluronidase; Racepinephrine,A1430,NA
431,"Lidocaine; Magnesium Sulfate, Unspecified Form; Adenosine",A1431,NA
432,Lidocaine; Mupirocin,A1432,NA
433,Lidocaine; Oxymetazoline Hydrochloride,A1433,NA
434,Lidocaine; Phenylephrine Hydrochloride,A1434,NA
435,Lidocaine; Phenylephrine Hydrochloride; Prilocaine,A1435,NA
436,Lidocaine; Prilocaine Hydrochloride; Tetracaine Hydrochloride,A1436,NA
437,Lidocaine; Prilocaine Hydrochloride; Tetracaine Hydrochloride; Phenylephrine,A1437,NA
438,Lidocaine; Prilocaine; Tetracaine,A1438,NA
439,Lidocaine; Racepinephrine,A1439,NA
440,Lidocaine; Racepinephrine; Bupivacaine,A1440,NA
441,Lidocaine; Racepinephrine; Tetracaine Hydrochloride,A1441,NA
442,Lidocaine; Tetracaine,A1416,NA
443,Lidocaine; Tetracaine Hydrochloride; Prilocaine Hydrochloride,A1443,NA
444,Lidocaine; Tetracaine; Benzocaine,A1070,NA
445,Lomustine,A1445,NA
446,Lysine,A1446,NA
447,Lysine Acetate; Serine; Glutamic Acid; Tyrosine; N-Acetyltyrosine; Threonine; Cysteine Hydrochloride; Histidine; Arginine; Taurine; Dextrose Monohydrate; Calcium Gluconate Monohydrate; Leucine; Methionine; Proline; Aspartic Acid; Isoleucine; Alanine; Glycine; Phenylalanine; Tryptophan; Valine,A1447,NA
448,Lysine Acetate; Serine; Glutamic Acid; Tyrosine; N-Acetyltyrosine; Threonine; Cysteine Hydrochloride; Histidine; Arginine; Taurine; Dextrose Monohydrate; Calcium Gluconate Monohydrate; Leucine; Methionine; Proline; Aspartic Acid; Isoleucine; Alanine; Glycine; Phenylalanine; Tryptophan; Valine; Heparin Sodium,A1448,NA
449,Lysine Acetate; Serine; Glutamic Acid; Tyrosine; N-Acetyltyrosine; Threonine; Cysteine Hydrochloride; Histidine; Arginine; Taurine; Dextrose Monohydrate; Leucine; Methionine; Proline; Aspartic Acid; Isoleucine; Alanine; Glycine; Phenylalanine; Tryptophan; Valine,A1449,NA
450,Lysine Acetate; Serine; Tyrosine; N-Acetyltyrosine; Threonine; Cysteine Hydrochloride; Histidine; Arginine; Taurine; Dextrose Monohydrate; Leucine; Methionine; Glutamic Acid; Proline; Aspartic Acid; Isoleucine; Alanine; Glycine; Phenylalanine; Tryptophan; Valine,A1450,NA
451,Lysine Hydrochloride,A1451,NA
452,"Lysine Hydrochloride, Dl-",A1452,NA
453,Lysine Hydrochloride; Arginine Hydrochloride,A1453,NA
454,Magnesium Chloride,A1454,NA
455,Magnesium Chloride Tetrahydrate,A1455,NA
456,Magnesium Hydroxide; Aluminum Hydroxide; Lidocaine Hydrochloride; Dimethicone,A1456,NA
457,Magnesium Sulfate Heptahydrate,A1457,NA
458,Magnesium Sulfate Heptahydrate; Dextrose Monohydrate; Trisodium Citrate Dihydrate; Sodium Chloride,A1458,NA
459,Magnesium Sulfate Heptahydrate; Sodium Chloride; Potassium Chloride,A1459,NA
460,Magnesium Sulfate Heptahydrate; Tromethamine; Dextrose Monohydrate; Sodium Chloride; Sodium Gluconate; Magnesium Chloride; Sodium Acetate; Potassium Chloride; Mannitol,A1460,NA
461,Manganese Sulfate Anhydrous,A1461,NA
462,Mannitol; Lidocaine Hydrochloride; Magnesium Sulfate Heptahydrate; Magnesium Chloride; Sodium Gluconate; Sodium Acetate; Potassium Chloride; Sodium Chloride; Sodium Bicarbonate,A1462,NA
463,Mannitol; Lidocaine Hydrochloride; Sodium Bicarbonate; Sodium Chloride; Potassium Chloride; Calcium Chloride,A1463,NA
464,Mannitol; Magnesium Sulfate Heptahydrate; Sodium Chloride; Potassium Chloride; Magnesium Chloride; Tromethamine; Dextrose Monohydrate; Sodium Acetate; Sodium Gluconate,A1464,NA
465,Medroxyprogesterone Acetate,A1465,NA
466,Meloxicam,A1466,NA
467,Menotropins,A1467,NA
468,Metformin Hydrochloride,A1468,NA
469,Methacholine Chloride,A1469,NA
470,Methadone Hydrochloride,A1470,NA
471,Methionine,A1471,NA
472,Methionine; Choline Chloride; Inositol; Benzyl Alcohol,A1472,NA
473,Methionine; Choline Chloride; Inositol; Cyanocobalamin; Benzyl Alcohol,A1473,NA
474,Methionine; Cyanocobalamin; Choline Chloride; Inositol,A1474,NA
475,Methionine; Cyanocobalamin; Choline Chloride; Inositol; Pyridoxine Hydrochloride,A1475,NA
476,Methionine; Inositol; Choline Chloride,A1476,NA
477,Methionine; Inositol; Choline Chloride; Cyanocobalamin,A1477,NA
478,Methocarbamol,A1478,NA
479,Methohexital Sodium,A1479,NA
480,Methotrexate,A1480,NA
481,Methylcobalamin,A1481,NA
482,Methylene Blue,A1482,NA
483,Methylnaltrexone,A1483,NA
484,Methylprednisolone Acetate,A1484,NA
485,Methylprednisolone Acetate; Lidocaine,A1485,NA
486,Metoprolol Tartrate,A1486,NA
487,Metronidazole,A1487,NA
488,Metronidazole Benzoate,A1488,NA
489,Metronidazole; Ivermectin,A1489,NA
490,Metronidazole; Ivermectin; Brimonidine Tartrate; Niacinamide,A1490,NA
491,Metronidazole; Ivermectin; Niacinamide,A1491,NA
492,Metronidazole; Mupirocin,A1492,NA
493,Metronidazole; Niacinamide,A1493,NA
494,Midazolam,A1494,NA
495,Midazolam Hydrochloride,A1495,NA
496,Midazolam; Ketamine Hydrochloride; Ondansetron Hydrochloride,A1496,NA
497,Milrinone Lactate,A1497,NA
498,Minoxidil; Finasteride,A1498,NA
499,Minoxidil; Finasteride; Dexamethasone Sodium Phosphate,A1499,NA
500,Minoxidil; Fluocinolone Acetonide; Tretinoin,A1500,NA
501,Minoxidil; Niacinamide,A1501,NA
502,Minoxidil; Progesterone,A1502,NA
503,Minoxidil; Progesterone; Tretinoin,A1503,NA
504,Misoprostol,A1504,NA
505,Mitomycin,A1505,NA
506,Molybdenum,A1506,NA
507,Mometasone Furoate; Niacinamide,A1507,NA
508,Morphine Sulfate,A1508,NA
509,Morphine Sulfate; Bupivacaine Hydrochloride Related Compound A,A1509,NA
510,Moxifloxacin,A1510,NA
511,Moxifloxacin Hydrochloride,A1511,NA
512,Moxifloxacin Hydrochloride; Dexamethasone Sodium Phosphate,A1512,NA
513,Moxifloxacin Hydrochloride; Triamcinolone Acetonide,A1513,NA
514,Mupirocin; Clotrimazole; Betamethasone Acetate,A1514,NA
515,Mycophenolate Sodium,A1515,NA
516,N-Acetyltyrosine; Threonine; Cysteine Hydrochloride; Histidine; Arginine; Taurine; Dextrose Monohydrate; Leucine; Methionine; Glutamic Acid; Proline; Aspartic Acid; Isoleucine; Alanine; Glycine; Phenylalanine; Tryptophan; Valine; Calcium Gluconate Monohydrate; Lysine Acetate; Serine; Tyrosine,A1516,NA
517,N-Acetyltyrosine; Threonine; Cysteine Hydrochloride; Histidine; Arginine; Taurine; Dextrose Monohydrate; Leucine; Methionine; Proline; Aspartic Acid; Isoleucine; Alanine; Glycine; Phenylalanine; Tryptophan; Valine; Calcium Gluconate Monohydrate; Glutamic Acid; Lysine Acetate; Serine; Tyrosine,A1517,NA
518,Naloxone Hydrochloride,A1518,NA
519,Naltrexone,A1519,NA
520,Naltrexone Hydrochloride,A1520,NA
521,Naltrexone; Triamcinolone,A1521,NA
522,Nandrolone Decanoate,A1522,NA
523,Neomycin Sulfate; Polymyxin B Sulfate; Dexamethasone,A1523,NA
524,Neostigmine Methylsulfate,A1524,NA
525,Nepafenac; Prednisolone Acetate; Moxifloxacin Hydrochloride,A1525,NA
526,Niacinamide,A1526,NA
527,"Niacinamide Hydriodide; Riboflavin 5'-Phosphate Sodium; Panthenol Triacetate, (+)-; Thiamine Hydrochloride; Pyridoxine Hydrochloride",A1527,NA
528,Niacinamide; Adapalene,A1528,NA
529,Niacinamide; Azelaic Acid,A1529,NA
530,Niacinamide; Benzoyl Peroxide,A1530,NA
531,Niacinamide; Betamethasone Dipropionate,A1531,NA
532,Niacinamide; Clindamycin Phosphate,A1532,NA
533,Niacinamide; Clindamycin Phosphate; Hydrocortisone,A1533,NA
534,Niacinamide; Clindamycin Phosphate; Spironolactone; Tretinoin,A1534,NA
535,Niacinamide; Clindamycin Phosphate; Tretinoin,A1535,NA
536,Niacinamide; Clobetasol Propionate,A1536,NA
537,Niacinamide; Fluocinonide,A1537,NA
538,Niacinamide; Fluocinonide; Hyaluronic Acid,A1538,NA
539,Niacinamide; Lactic Acid,A1539,NA
540,Niacinamide; Riboflavin 5'-Phosphate Sodium; Dexpanthenol; Thiamine Hydrochloride; Pyridoxine Hydrochloride,A1540,NA
541,Niacinamide; Spironolactone,A1541,NA
542,Niacinamide; Spironolactone; Tretinoin,A1542,NA
543,Niacinamide; Sulfacetamide Sodium,A1543,NA
544,Niacinamide; Tazarotene,A1544,NA
545,Niacinamide; Tazarotene; Clindamycin Phosphate,A1545,NA
546,Niacinamide; Tretinoin,A1546,NA
547,Niacinamide; Tretinoin; Clindamycin Phosphate,A1547,NA
548,Niacinamide; Tretinoin; Hyaluronic Acid,A1548,NA
549,Niacinamide; Tretinoin; Spironolactone; Benzoyl Peroxide; Clindamycin Phosphate,A1549,NA
550,Niacinamide; Triamcinolone Acetonide,A1550,NA
551,Nicardipine Hydrochloride,A1551,NA
552,"Nicotinamide-Adenine Dinucleotide Phosphate, Reduced",A1552,NA
553,Nitroglycerin,A1553,NA
554,Norepinephrine,A1554,NA
555,Norepinephrine Bitartrate,A1555,NA
556,"Norepinephrine Hydrochloride, (+/-)",A1556,NA
557,Norepinephrine; Sodium Chloride; Sodium Metabisulfite,A1557,NA
558,Omeprazole,A1558,NA
559,Ondansetron,A1559,NA
560,Ondansetron Hydrochloride,A1560,NA
561,Ondansetron Hydrochloride Anhydrous,A1561,NA
562,Ondansetron Hydrochloride; Ketamine Hydrochloride; Midazolam,A1562,NA
563,Ornithine; Arginine Hydrochloride; Citrulline,A1563,NA
564,Oxandrolone,A1564,NA
565,Oxymetazoline Hydrochloride; Tetracaine Hydrochloride,A1565,NA
566,Oxytocin,A1566,NA
567,Oxytocin; Sildenafil Citrate,A1567,NA
568,Oxytocin; Tadalafil,A1568,NA
569,Papaverine Hydrochloride; Alprostadil; Phentolamine Mesylate,A1569,NA
570,Papaverine Hydrochloride; Phentolamine Mesylate,A1570,NA
571,Papaverine Hydrochloride; Phentolamine Mesylate; Alprostadil,A1571,NA
572,Papaverine Hydrochloride; Phentolamine Mesylate; Alprostadil; Atropine Sulfate,A1572,NA
573,Papaverine Hydrochloride; Sildenafil Citrate,A1573,NA
574,Papaverine; Sildenafil,A1574,NA
575,Papaverine; Sildenafil Citrate,A1575,NA
576,Pentoxifylline,A1576,NA
577,Perflubron,A1577,NA
578,Phenobarbital Sodium,A1578,NA
579,Phenol,A1579,NA
580,Phentolamine Mesylate; Alprostadil; Atropine Sulfate; Papaverine Hydrochloride,A1580,NA
581,Phentolamine Mesylate; Papaverine Hydrochloride; Alprostadil; Atropine Sulfate,A1581,NA
582,Phentolamine Mesylate; Papaverine Hydrochloride; Atropine,A1582,NA
583,Phenylephrine,A1583,NA
584,Phenylephrine Hydrochloride,A1584,NA
585,"Phenylephrine Hydrochloride, (+/-)",A1585,NA
586,Phenylephrine Hydrochloride; Ciprofloxacin Hydrochloride; Cyclopentolate Hydrochloride,A1586,NA
587,Phenylephrine Hydrochloride; Ketorolac Tromethamine; Ciprofloxacin Hydrochloride; Tropicamide,A1587,NA
588,Phenylephrine Hydrochloride; Lidocaine,A1588,NA
589,Phenylephrine Hydrochloride; Lidocaine Hydrochloride,A1589,NA
590,Phenylephrine Hydrochloride; Lidocaine; Tetracaine,A1590,NA
591,Phenylephrine Hydrochloride; Tropicamide,A1591,NA
592,Phenylephrine Hydrochloride; Tropicamide; Cyclopentolate Hydrochloride,A1592,NA
593,Phenylephrine Hydrochloride; Tropicamide; Ketorolac Tromethamine; Ciprofloxacin Hydrochloride,A1593,NA
594,Phenylephrine Hydrochloride; Tropicamide; Proparacaine Hydrochloride; Ketorolac Tromethamine,A1594,NA
595,Phenylephrine; Lidocaine; Tetracaine,A1595,NA
596,"Phosphatidylcholine, Soybean; Deoxycholic Acid",A1596,NA
597,Phytonadione,A1597,NA
598,Pilocarpine Hydrochloride,A1598,NA
599,Pioglitazone Hydrochloride,A1599,NA
600,Podophyllum Resin; Cantharidin; Salicylic Acid,A1600,NA
601,Polidocanol,A1601,NA
602,Polymyxin B Sulfate; Neomycin Sulfate,A1602,NA
603,Ponazuril,A1603,NA
604,Potassium Acetate,A1604,NA
605,Potassium Chloride,A1605,NA
606,"Potassium Chloride; Aspartic Acid; Tromethamine; Glutamic Acid; Dextrose Monohydrate; Citric Acid Monohydrate; Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose; Trisodium Citrate Dihydrate",A1606,NA
607,"Potassium Chloride; Aspartic Acid; Tromethamine; Glutamic Acid; Dextrose Monohydrate; Citric Acid Monohydrate; Trisodium Citrate Dihydrate; Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose",A1607,NA
608,"Potassium Chloride; Aspartic Acid; Tromethamine; Glutamic Acid; Dextrose Monohydrate; Trisodium Citrate Dihydrate; Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose; Citric Acid Monohydrate",A1608,NA
609,Potassium Chloride; Lidocaine Hydrochloride,A1609,NA
610,Potassium Chloride; Sodium Bicarbonate; Lidocaine Hydrochloride,A1610,NA
611,Potassium Iodide,A1611,NA
612,Potassium Palmitate,A1612,NA
613,"Potassium Phosphate, Dibasic",A1613,NA
614,"Potassium Phosphate, Dibasic; Potassium Phosphate, Monobasic",A1614,NA
615,"Potassium Phosphate, Monobasic; Potassium Phosphate, Dibasic",A1615,NA
616,"Potassium Phosphate, Unspecified Form",A1616,NA
617,Povidone,A1617,NA
618,Povidone-Iodine,A1618,NA
619,Pralmorelin; Sermorelin,A1619,NA
620,Prasterone,A1620,NA
621,Prasterone; Pregnenolone,A1621,NA
622,Prasterone; Progesterone,A1622,NA
623,Prasterone; Progesterone; Pregnenolone,A1623,NA
624,Prasterone; Sildenafil,A1624,NA
625,Praziquantel; Pyrantel Pamoate; Mebendazole,A1625,NA
626,Praziquantel; Pyrantel Pamoate; Oxantel Pamoate,A1626,NA
627,Prednisolone,A1627,NA
628,Prednisolone Acetate,A1628,NA
629,Prednisolone Acetate; Bromfenac; Gatifloxacin,A1629,NA
630,Prednisolone Acetate; Gatifloxacin,A1630,NA
631,Prednisolone Acetate; Moxifloxacin Hydrochloride,A1631,NA
632,Prednisolone Acetate; Moxifloxacin Hydrochloride; Nepafenac,A1632,NA
633,Prednisolone Acetate; Nepafenac,A1633,NA
634,Prednisolone Sodium Phosphate; Bromfenac,A1634,NA
635,Prednisolone Sodium Phosphate; Bromfenac; Gatifloxacin,A1635,NA
636,Prednisolone Sodium Phosphate; Gatifloxacin,A1636,NA
637,Prednisolone Sodium Phosphate; Moxifloxacin Hydrochloride,A1637,NA
638,Pregnenolone,A1638,NA
639,Pregnenolone; Prasterone,A1639,NA
640,Pregnenolone; Prasterone; Progesterone,A1640,NA
641,Pregnenolone; Progesterone,A1641,NA
642,Pregnenolone; Progesterone; Prasterone,A1642,NA
643,Prilocaine Hydrochloride; Lidocaine Hydrochloride; Tetracaine,A1643,NA
644,Prilocaine; Lidocaine; Tetracaine; Phenylephrine,A1644,NA
645,Prilocaine; Phenylephrine Hydrochloride; Lidocaine,A1645,NA
646,Procaine Hydrochloride,A1646,NA
647,Progesterone,A1647,NA
648,Progesterone; Estriol; Estradiol,A1648,NA
649,Progesterone; Minoxidil; Fluocinolone Acetonide,A1649,NA
650,Progesterone; Minoxidil; Tretinoin,A1650,NA
651,Progesterone; Prasterone; Pregnenolone,A1651,NA
652,Progesterone; Pregnenolone,A1652,NA
653,Progesterone; Pregnenolone; Prasterone,A1653,NA
654,Proline,A1654,NA
655,Promethazine Hydrochloride,A1655,NA
656,Proparacaine,A1656,NA
657,Proparacaine Hydrochloride,A1657,NA
658,Proparacaine Hydrochloride; Cyclopentolate Hydrochloride; Phenylephrine Hydrochloride; Tropicamide,A1658,NA
659,Proparacaine Hydrochloride; Cyclopentolate Hydrochloride; Phenylephrine Hydrochloride; Tropicamide; Ketorolac Tromethamine,A1659,NA
660,Pyridoxal Phosphate Anhydrous; Choline Chloride; Niacinamide; Inositol; Cyanocobalamin; Thiamine Hydrochloride; Riboflavin 5'-Phosphate Sodium; Ascorbic Acid; Methionine,A1660,NA
661,Pyridoxine Hydrochloride,A1661,NA
662,Pyridoxine Hydrochloride; Inositol; Choline Chloride; Cyanocobalamin; Methionine,A1662,NA
663,Pyridoxine Hydrochloride; Magnesium Chloride; Dexpanthenol; Calcium Gluconate; Thiamine Hydrochloride; Niacinamide; Cyanocobalamin; Riboflavin,A1663,NA
664,Pyridoxine Hydrochloride; Methionine; Inositol; Choline Chloride; Cyanocobalamin,A1664,NA
665,Pyridoxine Hydrochloride; Riboflavin 5'-Phosphate Sodium; Chromic Chloride; Thiamine Hydrochloride; Methylcobalamin; Niacinamide Hydrochloride,A1665,NA
666,Pyridoxine Hydrochloride; Riboflavin 5'-Phosphate Sodium; Chromic Chloride; Thiamine Hydrochloride; Niacinamide Hydrochloride,A1666,NA
667,Pyridoxine Hydrochloride; Thiamine Hydrochloride,A1667,NA
668,Racepinephrine,A1668,NA
669,Racepinephrine Hydrochloride; Lidocaine Hydrochloride,A1669,NA
670,Racepinephrine Hydrochloride; Lidocaine Hydrochloride; Tetracaine Hydrochloride,A1670,NA
671,Racepinephrine Hydrochloride; Tetracaine Hydrochloride; Lidocaine Hydrochloride,A1671,NA
672,Ranibizumab,A1672,NA
673,Remifentanil Hydrochloride,A1673,NA
674,Riboflavin 5'-Phosphate Sodium,A1674,NA
675,Riboflavin 5'-Phosphate Sodium; Niacinamide; Dexpanthenol; Pyridoxine Hydrochloride; Methionine; Inositol; Choline Chloride; Thiamine Hydrochloride; Biotin; Hydroxocobalamin Hydrochloride,A1675,NA
676,Riboflavin; Niacinamide; Dexpanthenol; Pyridoxine; Thiamine Hydrochloride,A1676,NA
677,Rocuronium Bromide,A1677,NA
678,Ropivacaine Hydrochloride,A1678,NA
679,"Ropivacaine Hydrochloride, (r)-",A1679,NA
680,Ropivacaine Hydrochloride; Bupivacaine Hydrochloride,A1680,NA
681,Ropivacaine Hydrochloride; Clonidine Hydrochloride; Ketorolac Tromethamine; Epinephrine,A1681,NA
682,Ropivacaine Hydrochloride; Clonidine Hydrochloride; Ketorolac Tromethamine; Racephedrine,A1682,NA
683,Ropivacaine Hydrochloride; Epinephrine; Ketorolac Tromethamine; Clonidine Hydrochloride,A1683,NA
684,Ropivacaine Hydrochloride; Fentanyl Citrate,A1684,NA
685,Ropivacaine Hydrochloride; Ketamine; Ketorolac Tromethamine,A1685,NA
686,Ropivacaine Hydrochloride; Ketorolac Tromethamine; Clonidine Hydrochloride,A1686,NA
687,Ropivacaine Hydrochloride; Ketorolac Tromethamine; Ketamine,A1687,NA
688,Salicylic Acid,A1688,NA
689,Salicylic Acid; Ciclopirox,A1689,NA
690,Salicylic Acid; Ciclopirox; Clobetasol Propionate,A1690,NA
691,Salicylic Acid; Clobetasol Propionate,A1691,NA
692,Salicylic Acid; Clobetasol Propionate; Coal Tar,A1692,NA
693,Salicylic Acid; Ketoconazole,A1693,NA
694,Salicylic Acid; Podophyllum Resin; Cantharidin,A1694,NA
695,Sarracenia Purpurea,A1695,NA
696,Secnidazole,A1696,NA
697,Sermorelin,A1697,NA
698,Sermorelin Acetate,A1698,NA
699,Sermorelin Acetate; Ipamorelin,A1699,NA
700,Sermorelin Acetate; Pralmorelin,A1700,NA
701,Sermorelin; Ipamorelin,A1701,NA
702,Sermorelin; Pralmorelin; Growth Hormone Releasing Hexapeptide,A1702,NA
703,Sildenafil,A1703,NA
704,Sildenafil Citrate,A1704,NA
705,Sildenafil Citrate; Papaverine Hydrochloride,A1705,NA
706,Sildenafil Citrate; Testosterone,A1706,NA
707,Sildenafil; Papaverine,A1707,NA
708,Sincalide,A1708,NA
709,Sodium 3-Hydroxybutyrate,A1709,NA
710,Sodium Acetate Anhydrous,A1710,NA
711,Sodium Bicarbonate,A1711,NA
