"","Active","Facility","Segment","ActiveCount","ProductCount","FacilitySegmentCount","SegmentCount","ProducedByCP","City","State","lon","lat","InitialRegistration","FacilitySqFt","Employees","Services","EstSales","EstFacilitySize"
"659","Metronidazole; Ivermectin; Niacinamide","Sincerus Florida, LLC","Dermatology",1,110,94,283,NA,"Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"660","Metronidazole; Mupirocin","Sincerus Florida, LLC.","Dermatology",1,6,5,283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"661","Metronidazole; Niacinamide","Sincerus Florida, LLC","Dermatology",1,110,94,283,NA,"Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"662","Minoxidil; Fluocinolone Acetonide; Tretinoin","Sincerus Florida, LLC","Dermatology",1,110,94,283,NA,"Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"663","Minoxidil; Niacinamide","Sincerus Florida, LLC","Dermatology",1,110,94,283,NA,"Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"664","Minoxidil; Progesterone","Sincerus Florida, LLC","Dermatology",1,110,94,283,NA,"Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"665","Minoxidil; Progesterone; Tretinoin","Sincerus Florida, LLC","Dermatology",1,110,94,283,NA,"Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"666","Niacinamide; Adapalene","Sincerus Florida, LLC","Dermatology",1,110,94,283,NA,"Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"667","Niacinamide; Azelaic Acid","Sincerus Florida, LLC","Dermatology",1,110,94,283,NA,"Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"668","Niacinamide; Clindamycin Phosphate","Sincerus Florida, LLC","Dermatology",1,110,94,283,NA,"Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"669","Niacinamide; Clindamycin Phosphate; Hydrocortisone","Sincerus Florida, LLC","Dermatology",1,110,94,283,NA,"Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"670","Niacinamide; Clindamycin Phosphate; Spironolactone; Tretinoin","Sincerus Florida, LLC","Dermatology",1,110,94,283,NA,"Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"671","Niacinamide; Clindamycin Phosphate; Tretinoin","Sincerus Florida, LLC","Dermatology",1,110,94,283,NA,"Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"672","Niacinamide; Lactic Acid","Sincerus Florida, LLC","Dermatology",1,110,94,283,NA,"Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"673","Niacinamide; Spironolactone","Sincerus Florida, LLC","Dermatology",1,110,94,283,NA,"Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"674","Niacinamide; Spironolactone; Tretinoin","Sincerus Florida, LLC","Dermatology",1,110,94,283,NA,"Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"675","Niacinamide; Sulfacetamide Sodium","Sincerus Florida, LLC","Dermatology",1,110,94,283,NA,"Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"676","Niacinamide; Tazarotene","Sincerus Florida, LLC","Dermatology",1,110,94,283,NA,"Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"677","Niacinamide; Tazarotene; Clindamycin Phosphate","Sincerus Florida, LLC","Dermatology",1,110,94,283,NA,"Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"678","Niacinamide; Tretinoin","Sincerus Florida, LLC","Dermatology",1,110,94,283,NA,"Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"679","Niacinamide; Tretinoin; Clindamycin Phosphate","Sincerus Florida, LLC","Dermatology",1,110,94,283,NA,"Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"680","Niacinamide; Triamcinolone Acetonide","Sincerus Florida, LLC","Dermatology",1,110,94,283,NA,"Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"681","Progesterone; Minoxidil; Fluocinolone Acetonide","Sincerus Florida, LLC","Dermatology",1,110,94,283,NA,"Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"682","Progesterone; Minoxidil; Tretinoin","Sincerus Florida, LLC","Dermatology",1,110,94,283,NA,"Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"683","Sulfacetamide Sodium; Niacinamide","Sincerus Florida, LLC","Dermatology",1,110,94,283,NA,"Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"684","Tacrolimus; Niacinamide","Sincerus Florida, LLC","Dermatology",1,110,94,283,NA,"Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"685","Terbinafine Hydrochloride","Sincerus Florida, LLC","Dermatology",1,110,94,283,NA,"Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"686","Tretinoin; Minoxidil","Sincerus Florida, LLC","Dermatology",2,110,94,283,NA,"Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"687","Triamcinolone Acetonide; Levocetirizine Dihydrochloride; Mupirocin","Sincerus Florida, LLC.","Dermatology",1,6,5,283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"688","Triamcinolone Acetonide; Pentoxifylline","Sincerus Florida, LLC.","Dermatology",1,6,5,283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"689","Cyclosporine","Stokes Healthcare","Dermatology",2,16,1,283,NA,"Mt. Laurel","NJ",-74.8909988,39.934002,2018-01-30,"NA",49,"Compounding",5300000,"Medium"
"690","Betamethasone Sodium Phosphate; Betamethasone Acetate","US Compounding, Inc.","Dermatology",2,87,8,283,NA,"Conway","AR",-92.4421011,35.0886963,2013-12-20,"NA",90,"Compounding",6440000,"Medium"
"691","Brompheniramine Maleate","US Compounding, Inc.","Dermatology",2,87,8,283,NA,"Conway","AR",-92.4421011,35.0886963,2013-12-20,"NA",90,"Compounding",6440000,"Medium"
"692","Cantharidin","US Compounding, Inc.","Dermatology",7,87,8,283,"Y","Conway","AR",-92.4421011,35.0886963,2013-12-20,"NA",90,"Compounding",6440000,"Medium"
"693","Cantharidin; Podophyllum Resin; Salicylic Acid","US Compounding, Inc.","Dermatology",3,87,8,283,NA,"Conway","AR",-92.4421011,35.0886963,2013-12-20,"NA",90,"Compounding",6440000,"Medium"
"694","Triamcinolone Acetonide","US Compounding, Inc.","Dermatology",7,87,8,283,NA,"Conway","AR",-92.4421011,35.0886963,2013-12-20,"NA",90,"Compounding",6440000,"Medium"
"695","Triamcinolone Diacetate","US Compounding, Inc.","Dermatology",2,87,8,283,NA,"Conway","AR",-92.4421011,35.0886963,2013-12-20,"NA",90,"Compounding",6440000,"Medium"
"696","Betamethasone Acetate; Betamethasone Sodium Phosphate","US Specialty Formulations LLC","Dermatology",4,8,1,283,"Y","Bethlehem","PA",35.2024425,31.7053821,2014-01-31,"36000",10,"Compounding, Clinical Trials, Stability, Specialty Formulations",2e+06,"Small"
"697","Ascorbic Acid","AnazaoHealth Corporation","Dermatology",10,40,3,283,NA,"Las Vegas","NV",-115.1398296,36.1699412,2014-09-23,"30000",40,"Compounding",45200000,"Large"
"698","Biotin","ASP Cares","Dermatology",5,66,6,283,NA,"San Antonio","TX",-98.4936282,29.4241219,2017-02-14,"3000",10,"Compounding, Clinical Trials, R&D",242068,"Small"
"699","Ascorbic Acid","Auro Pharmacies, Inc","Dermatology",10,24,3,283,NA,"La Habra","CA",-117.946137,33.9318591,2016-09-01,"NA",15,"Compounding",1.5e+07,"Medium"
"700","Glutathione","Complete Pharmacy and Medical Solutions","Dermatology",10,78,5,283,NA,"Miami Lakes","FL",-80.3086619,25.9087056,2014-06-06,"1500",10,"Compounding",1130000,"Small"
"701","Cantharidin","Denver Solutions, LLC dba Leiters Health","Dermatology",7,65,4,283,"Y","Englewood","CO",-104.9877597,39.6477653,2017-03-24,"60000",8,"Compounding, Repackaging",2470000,"Medium"
"702","Glycerin","Fagron Compounding Services LLC dba Fagron Sterile Services LLC","Dermatology",4,57,4,283,NA,"Wichita","KS",-97.330053,37.6871761,2015-10-02,"50000",40,"Compounding, Speciality formulations",14410000,"Medium"
"703","Triamcinolone Acetonide; Moxifloxacin Hydrochloride","Imprimis NJOF, LLC","Dermatology",1,29,4,283,NA,"Ledgewood","NJ",-82.517773,35.570635,2016-11-12,"NA",5,"Compounding",411596,"Small"
"704","Glycerin","Pine Pharmaceuticals LLC","Dermatology",4,84,8,283,NA,"Tonawanda","NY",-78.8723971,42.9886849,2018-03-09,"15000",34,"Compounding",1280000,"Small"
"705","Squaric Acid Dibutyl Ester","RAM Pharma, Inc.","Dermatology",2,64,9,283,"Y","Idaho Falls","ID",-112.0407584,43.4926607,2016-07-21,"NA",5,"Compounding",149000,"Small"
"706","Isopropyl Alcohol","Right Value Drug Stores llc dba Carie Boyd's Prescription Shop","Dermatology",5,31,3,283,NA,"Irving","TX",-96.9488945,32.8140177,2019-07-03,"10000",13,"Compounding",2190000,"Small"
"707","Lidocaine Hydrochloride; Triamcinolone Acetonide","Right Value Drug Stores llc dba Carie Boyd's Prescription Shop","Dermatology",1,31,3,283,NA,"Irving","TX",-96.9488945,32.8140177,2019-07-03,"10000",13,"Compounding",2190000,"Small"
"708","Ciclopirox Olamine; Terbinafine Hydrochloride; Fluconazole","Sincerus Florida, LLC","Dermatology",1,110,94,283,NA,"Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"709","Isopropyl Alcohol","Brookfield Medical Surgical Supply","Dermatology",5,12,3,283,NA,"Brookfield","CT",-88.1064787,43.0605671,2015-01-12,"NA",10,"Compounding",982304,"Small"
"710","Isopropyl Alcohol","KRS Global Biotechnology, Inc.","Dermatology",5,87,10,283,NA,"Boca Raton","FL",-80.1289321,26.3683064,2013-12-15,"NA",40,"Compounding",11750000,"Large"
"711","Lidocaine Hydrochloride; Hyaluronidase","KRS Global Biotechnology, Inc.","Dermatology",2,87,10,283,NA,"Boca Raton","FL",-80.1289321,26.3683064,2013-12-15,"NA",40,"Compounding",11750000,"Large"
"712","Glutathione","MedisourceRx","Dermatology",10,6,1,283,NA,"Los Alamitos","CA",-118.0718894,33.8032009,2017-02-14,"NA",5,"Compounding",707385,"Small"
"713","Fluconazole; Ibuprofen; Itraconazole; Terbinafine Hydrochloride","Sincerus Florida, LLC","Dermatology",1,110,94,283,NA,"Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"714","Tretinoin; Spironolactone; Benzoyl Peroxide; Clindamycin Phosphate; Niacinamide","Sincerus Florida, LLC","Dermatology",1,110,94,283,NA,"Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"715","Triamcinolone Acetonide; Calcipotriene","Sincerus Florida, LLC","Dermatology",1,110,94,283,NA,"Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"716","Isopropyl Alcohol","US Compounding, Inc.","Dermatology",5,87,8,283,NA,"Conway","AR",-92.4421011,35.0886963,2013-12-20,"NA",90,"Compounding",6440000,"Medium"
"717","Glutathione","Wells Pharmacy, Inc","Dermatology",10,27,3,283,NA,"Dyersburg","TN",-89.3856281,36.0345159,2016-06-07,"6000",30,"Compounding",4060000,"Medium"
"718","Bupivacaine Hydrochloride","Denver Solutions, LLC dba Leiters Health","Dermatology",11,65,4,283,NA,"Englewood","CO",-104.9877597,39.6477653,2017-03-24,"60000",8,"Compounding, Repackaging",2470000,"Medium"
"719","Epinephrine; Bupivacaine Hydrochloride; Dexamethasone Sodium Phosphate","Denver Solutions, LLC dba Leiters Health","Dermatology",1,65,4,283,NA,"Englewood","CO",-104.9877597,39.6477653,2017-03-24,"60000",8,"Compounding, Repackaging",2470000,"Medium"
"720","Bupivacaine Hydrochloride","Fagron Compounding Services LLC dba Fagron Sterile Services LLC","Dermatology",11,57,4,283,NA,"Wichita","KS",-97.330053,37.6871761,2015-10-02,"50000",40,"Compounding, Speciality formulations",14410000,"Medium"
"721","Isopropyl Alcohol","Pine Pharmaceuticals LLC","Dermatology",5,84,8,283,NA,"Tonawanda","NY",-78.8723971,42.9886849,2018-03-09,"15000",34,"Compounding",1280000,"Small"
"722","Diclofenac Sodium; Niacinamide","Sincerus Florida, LLC","Dermatology",2,110,94,283,NA,"Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"723","Diclofenac Sodium; Niacinamide; Calcipotriene","Sincerus Florida, LLC","Dermatology",1,110,94,283,NA,"Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"724","Mometasone Furoate; Niacinamide","Sincerus Florida, LLC","Dermatology",1,110,94,283,NA,"Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"725","Niacinamide; Betamethasone Dipropionate","Sincerus Florida, LLC","Dermatology",1,110,94,283,NA,"Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"726","Niacinamide; Fluocinonide","Sincerus Florida, LLC","Dermatology",1,110,94,283,NA,"Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"727","Niacinamide; Tretinoin; Spironolactone; Benzoyl Peroxide; Clindamycin Phosphate","Sincerus Florida, LLC","Dermatology",1,110,94,283,NA,"Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"728","Salicylic Acid; Clobetasol Propionate","Sincerus Florida, LLC","Dermatology",1,110,94,283,NA,"Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"729","Tacrolimus; Urea","Sincerus Florida, LLC","Dermatology",1,110,94,283,NA,"Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"730","Tazarotene","Sincerus Florida, LLC","Dermatology",1,110,94,283,NA,"Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"731","Bupivacaine Hydrochloride Anhydrous","Wells Pharmacy, Inc","Dermatology",2,27,3,283,NA,"Dyersburg","TN",-89.3856281,36.0345159,2016-06-07,"6000",30,"Compounding",4060000,"Medium"
"732","Lidocaine; Benzocaine; Tetracaine","ASP Cares","Dermatology",16,66,6,283,"Y","San Antonio","TX",-98.4936282,29.4241219,2017-02-14,"3000",10,"Compounding, Clinical Trials, R&D",242068,"Small"
"733","Lidocaine; Benzocaine; Tetracaine","Atlas Pharmaceuticals, LLC","Dermatology",16,24,4,283,"Y","Phoenix","AZ",-112.0740373,33.4483771,2016-11-08,"3000",5,"Compounding",179398,"Small"
"734","Lidocaine; Benzocaine; Tetracaine","Complete Pharmacy and Medical Solutions","Dermatology",16,78,5,283,"Y","Miami Lakes","FL",-80.3086619,25.9087056,2014-06-06,"1500",10,"Compounding",1130000,"Small"
"735","Lidocaine; Benzocaine; Tetracaine","Edge Pharmacy Services LLC","Dermatology",16,106,11,283,"Y","Colchester","VT",0.891874,51.895927,2014-01-21,"5000",22,"Compounding, Hazardous, Clinical Trials, Training",7200000,"Medium"
"736","Lidocaine; Benzocaine; Tetracaine","Empower Pharmacy","Dermatology",16,67,6,283,"Y","Houston","TX",-95.3698028,29.7604267,2016-07-16,"10000",22,"Compounding",246315,"Small"
"737","Lidocaine; Benzocaine; Tetracaine","KRS Global Biotechnology, Inc.","Dermatology",16,87,10,283,"Y","Boca Raton","FL",-80.1289321,26.3683064,2013-12-15,"NA",40,"Compounding",11750000,"Large"
"738","Lidocaine; Benzocaine; Tetracaine","Pacifico National, Inc.  dba AmEx Pharmacy","Dermatology",16,29,10,283,"Y","Melbourne","FL",144.9630576,-37.8136276,2015-09-21,"NA",19,"Compounding",6810000,"Medium"
"739","Lidocaine; Benzocaine; Tetracaine","Pine Pharmaceuticals LLC","Dermatology",16,84,8,283,"Y","Tonawanda","NY",-78.8723971,42.9886849,2018-03-09,"15000",34,"Compounding",1280000,"Small"
"740","Lidocaine; Benzocaine; Tetracaine","Premier Pharmacy Labs, Inc","Dermatology",16,88,6,283,"Y","Brookville","FL",-79.0830924,41.1611746,2014-04-16,"NA",8,"Compounding",1500000,"Small"
"741","Lidocaine; Benzocaine; Tetracaine","RAM Pharma, Inc.","Dermatology",16,64,9,283,"Y","Idaho Falls","ID",-112.0407584,43.4926607,2016-07-21,"NA",5,"Compounding",149000,"Small"
"742","Lidocaine; Benzocaine; Tetracaine","RXQ Compounding, LLC","Dermatology",16,119,11,283,"Y","Athens","OH",23.7275388,37.9838096,2015-01-02,"NA",3,"Compounding",1770000,"Small"
"743","Lidocaine; Benzocaine; Tetracaine","Sincerus Florida, LLC","Dermatology",16,110,94,283,"Y","Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"744","Lidocaine; Benzocaine; Tetracaine","US Compounding, Inc.","Dermatology",16,87,8,283,"Y","Conway","AR",-92.4421011,35.0886963,2013-12-20,"NA",90,"Compounding",6440000,"Medium"
"745","Lidocaine; Benzocaine; Tetracaine","Wells Pharmacy, Inc","Dermatology",16,27,3,283,"Y","Dyersburg","TN",-89.3856281,36.0345159,2016-06-07,"6000",30,"Compounding",4060000,"Medium"
"746","Lidocaine; Benzocaine; Tetracaine","Right Value Drug Stores llc dba Carie Boyd's Prescription Shop","Dermatology",16,31,3,283,"Y","Irving","TX",-96.9488945,32.8140177,2019-07-03,"10000",13,"Compounding",2190000,"Small"
"747","Lidocaine; Benzocaine; Tetracaine","AnazaoHealth Corporation","Dermatology",16,40,3,283,"Y","Las Vegas","NV",-115.1398296,36.1699412,2014-09-23,"30000",40,"Compounding",45200000,"Large"
"748","Lidocaine; Epinephrine","Imprimis NJOF, LLC","Dermatology",6,29,4,283,NA,"Ledgewood","NJ",-82.517773,35.570635,2016-11-12,"NA",5,"Compounding",411596,"Small"
"749","Lidocaine; Epinephrine","OLYMPIA PHARMACY","Dermatology",6,44,5,283,NA,"Orlando","FL",-81.3789269,28.5383832,2014-03-10,"NA",5,"Compounding",1810000,"Small"
"750","Lidocaine; Epinephrine","Pine Pharmaceuticals LLC","Dermatology",6,84,8,283,NA,"Tonawanda","NY",-78.8723971,42.9886849,2018-03-09,"15000",34,"Compounding",1280000,"Small"
"751","Lidocaine; Epinephrine","RAM Pharma, Inc.","Dermatology",6,64,9,283,NA,"Idaho Falls","ID",-112.0407584,43.4926607,2016-07-21,"NA",5,"Compounding",149000,"Small"
"752","Lidocaine; Epinephrine","RXQ Compounding, LLC","Dermatology",6,119,11,283,NA,"Athens","OH",23.7275388,37.9838096,2015-01-02,"NA",3,"Compounding",1770000,"Small"
"753","Lidocaine; Epinephrine","KRS Global Biotechnology, Inc.","Dermatology",6,87,10,283,NA,"Boca Raton","FL",-80.1289321,26.3683064,2013-12-15,"NA",40,"Compounding",11750000,"Large"
"754","Dental, Optical, Dermatology","JCB Laboratories LLC","Dermatology",5,54,4,283,NA,"Wichita","KS",-97.330053,37.6871761,2014-01-21,"50000",20,"Compounding, Speciality formulations",9330000,"Medium"
"755","Dental, Optical, Dermatology","Premier Pharmacy Labs, Inc","Dermatology",5,88,6,283,NA,"Brookville","FL",-79.0830924,41.1611746,2014-04-16,"NA",8,"Compounding",1500000,"Small"
"756","Dental, Optical, Dermatology","RAM Pharma, Inc.","Dermatology",5,64,9,283,NA,"Idaho Falls","ID",-112.0407584,43.4926607,2016-07-21,"NA",5,"Compounding",149000,"Small"
"757","Dental, Optical, Dermatology","RXQ Compounding, LLC","Dermatology",5,119,11,283,NA,"Athens","OH",23.7275388,37.9838096,2015-01-02,"NA",3,"Compounding",1770000,"Small"
"758","Dental, Optical, Dermatology","Fagron Compounding Services LLC dba Fagron Sterile Services LLC","Dermatology",5,57,4,283,NA,"Wichita","KS",-97.330053,37.6871761,2015-10-02,"50000",40,"Compounding, Speciality formulations",14410000,"Medium"
"759","Lidocaine; Bupivacaine","Edge Pharmacy Services LLC","Dermatology",5,106,11,283,NA,"Colchester","VT",0.891874,51.895927,2014-01-21,"5000",22,"Compounding, Hazardous, Clinical Trials, Training",7200000,"Medium"
"760","Lidocaine; Bupivacaine","JCB Laboratories LLC","Dermatology",5,54,4,283,NA,"Wichita","KS",-97.330053,37.6871761,2014-01-21,"50000",20,"Compounding, Speciality formulations",9330000,"Medium"
"761","Lidocaine; Bupivacaine","KRS GLOBAL BIOTECHNOLOGY, INC.","Dermatology",5,66,4,283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"762","Lidocaine; Bupivacaine","Pine Pharmaceuticals LLC","Dermatology",5,84,8,283,NA,"Tonawanda","NY",-78.8723971,42.9886849,2018-03-09,"15000",34,"Compounding",1280000,"Small"
"763","Lidocaine; Bupivacaine","KRS Global Biotechnology, Inc.","Dermatology",5,87,10,283,NA,"Boca Raton","FL",-80.1289321,26.3683064,2013-12-15,"NA",40,"Compounding",11750000,"Large"
"764","Aspartic Acid; Glutamic Acid","Central Admixture Pharmacy Services, Inc.","Dermatology",1,248,8,283,NA,"Allentown","PA",-75.4714098,40.6022939,2014-02-28,"NA",3,"Compounding",2670000,"Medium"
"765","Tetracaine; Lidocaine","ASP Cares","Dermatology",8,66,6,283,"Y","San Antonio","TX",-98.4936282,29.4241219,2017-02-14,"3000",10,"Compounding, Clinical Trials, R&D",242068,"Small"
"766","Tetracaine; Lidocaine","Complete Pharmacy and Medical Solutions","Dermatology",8,78,5,283,"Y","Miami Lakes","FL",-80.3086619,25.9087056,2014-06-06,"1500",10,"Compounding",1130000,"Small"
"767","Tetracaine; Lidocaine","Empower Pharmacy","Dermatology",8,67,6,283,"Y","Houston","TX",-95.3698028,29.7604267,2016-07-16,"10000",22,"Compounding",246315,"Small"
"768","Tetracaine; Lidocaine","KRS GLOBAL BIOTECHNOLOGY, INC.","Dermatology",8,66,4,283,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"769","Tetracaine; Lidocaine","Pacifico National, Inc.  dba AmEx Pharmacy","Dermatology",8,29,10,283,"Y","Melbourne","FL",144.9630576,-37.8136276,2015-09-21,"NA",19,"Compounding",6810000,"Medium"
"770","Tetracaine; Lidocaine","RAM Pharma, Inc.","Dermatology",8,64,9,283,"Y","Idaho Falls","ID",-112.0407584,43.4926607,2016-07-21,"NA",5,"Compounding",149000,"Small"
"771","Tetracaine; Lidocaine","RXQ Compounding, LLC","Dermatology",8,119,11,283,"Y","Athens","OH",23.7275388,37.9838096,2015-01-02,"NA",3,"Compounding",1770000,"Small"
"772","Tetracaine; Lidocaine","Sincerus Florida, LLC","Dermatology",8,110,94,283,"Y","Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"773","Lidocaine","Atlas Pharmaceuticals, LLC","Dermatology",26,24,4,283,NA,"Phoenix","AZ",-112.0740373,33.4483771,2016-11-08,"3000",5,"Compounding",179398,"Small"
"774","Lidocaine","Central Admixture Pharmacy Services, Inc.","Dermatology",26,248,8,283,NA,"Allentown","PA",-75.4714098,40.6022939,2014-02-28,"NA",3,"Compounding",2670000,"Medium"
"775","Lidocaine","Complete Pharmacy and Medical Solutions","Dermatology",26,78,5,283,NA,"Miami Lakes","FL",-80.3086619,25.9087056,2014-06-06,"1500",10,"Compounding",1130000,"Small"
"776","Lidocaine","Denver Solutions, LLC dba Leiters Health","Dermatology",26,65,4,283,NA,"Englewood","CO",-104.9877597,39.6477653,2017-03-24,"60000",8,"Compounding, Repackaging",2470000,"Medium"
"777","Lidocaine","Edge Pharmacy Services LLC","Dermatology",26,106,11,283,NA,"Colchester","VT",0.891874,51.895927,2014-01-21,"5000",22,"Compounding, Hazardous, Clinical Trials, Training",7200000,"Medium"
"778","Lidocaine","Fagron Compounding Services LLC dba Fagron Sterile Services LLC","Dermatology",26,57,4,283,NA,"Wichita","KS",-97.330053,37.6871761,2015-10-02,"50000",40,"Compounding, Speciality formulations",14410000,"Medium"
"779","Lidocaine","Fusion IV Pharmaceuticals, Inc. dba Axia Pharmaceuticals","Dermatology",26,40,5,283,NA,"Los Angeles","CA",-118.2436849,34.0522342,2017-01-06,"NA",32,"Compounding",4570000,"Medium"
"780","Lidocaine","KRS GLOBAL BIOTECHNOLOGY, INC.","Dermatology",26,66,4,283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"781","Lidocaine","Medi-Fare Drug","Dermatology",26,58,3,283,NA,"Blacksburg","SC",-80.4139393,37.2295733,2013-12-17,"NA",15,"Compounding",3390000,"Small"
"782","Lidocaine","Nephron Sterile Compounding Center, LLC","Dermatology",26,93,3,283,NA,"West Columbia","SC",-81.0739825,33.9934867,2014-07-15,"NA",5,"Compounding",618285,"Small"
"783","Lidocaine","New England Life Care LLC dba Advanced Compounding Solutions","Dermatology",26,55,1,283,NA,"Woburn","MA",-71.1522765,42.4792618,2017-03-02,"NA",3,"Compounding",92720000,"Large"
"784","Lidocaine","OLYMPIA PHARMACY","Dermatology",26,44,5,283,NA,"Orlando","FL",-81.3789269,28.5383832,2014-03-10,"NA",5,"Compounding",1810000,"Small"
"785","Lidocaine","Pharmedium Services, LLC, Dayton","Dermatology",26,74,2,283,NA,"Dayton","NJ",-84.1916069,39.7589478,2015-11-03,"NA",12,"Compounding",632447,"Small"
"786","Lidocaine","Pharmedium Services, LLC Cleveland","Dermatology",26,54,2,283,NA,"Cleveland","MS",-81.6943605,41.49932,2013-12-11,"NA",12,"Compounding",632447,"Small"
"787","Lidocaine","PharMEDium Services, LLC SugarLand","Dermatology",26,58,2,283,NA,"Sugar Land","TX",-95.6225521,29.5984434,2013-12-11,"NA",12,"Compounding",632447,"Small"
"788","Lidocaine","Pine Pharmaceuticals LLC","Dermatology",26,84,8,283,NA,"Tonawanda","NY",-78.8723971,42.9886849,2018-03-09,"15000",34,"Compounding",1280000,"Small"
