"","Active","Dosage","Facility","Segment","ActiveCount","ProductCount","FacilitySegmentCount","SegmentCount","ProducedByCP"
"1135","Glutathione","injection, solution","Auro Pharmacies, Inc","InfusionTherapy",10,30,6,295,NA
"1136","Sodium Bicarbonate","injection, solution","Auro Pharmacies, Inc","InfusionTherapy",13,30,6,295,NA
"1137","Taurine","injection, solution","Auro Pharmacies, Inc","InfusionTherapy",6,30,6,295,NA
"1138","Heparin Sodium","injection, solution","Avella of Deer Valley, Inc. #38","InfusionTherapy",7,38,3,295,NA
"1139","Neostigmine Methylsulfate","injection","Avella of Deer Valley, Inc. #38","InfusionTherapy",24,38,3,295,NA
"1140","Oxytocin","injection","Avella of Deer Valley, Inc. #38","InfusionTherapy",17,38,3,295,NA
"1141","Anastrozole","pellet","BSO, LLC","InfusionTherapy",3,7,2,295,NA
"1142","Progesterone","pellet","BSO, LLC","InfusionTherapy",10,7,2,295,NA
"1143","Aspartic Acid; Glutamic Acid; Citric Acid Monohydrate; Trisodium Citrate Dihydrate; Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",1,257,64,295,NA
"1144","Aspartic Acid; Glutamic Acid; Dextrose Monohydrate; Sodium Chloride; Sodium Gluconate; Sodium Acetate; Potassium Chloride; Magnesium Chloride","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",1,257,64,295,NA
"1145","Aspartic Acid; Potassium Chloride; Tromethamine; Glutamic Acid; Dextrose Monohydrate; Citric Acid Monohydrate; Trisodium Citrate Dihydrate; Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",1,257,64,295,NA
"1146","Aspartic Acid; Tromethamine; Glutamic Acid; Dextrose Monohydrate; Trisodium Citrate Dihydrate; Anhydrous Dextrose; Citric Acid Monohydrate; Sodium Phosphate, Monobasic, Monohydrate","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",1,257,64,295,NA
"1147","Calcium Chloride; Sodium Chloride; Potassium Chloride; Mannitol; Lidocaine Hydrochloride; Sodium Bicarbonate","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",1,257,64,295,NA
"1148","Calcium Gluconate Monohydrate; Glutamic Acid; Lysine Acetate; Serine; Tyrosine; N-Acetyltyrosine; Threonine; Cysteine Hydrochloride; Histidine; Arginine; Taurine; Dextrose Monohydrate; Leucine; Methionine; Proline; Aspartic Acid; Isoleucine; Alanine; Glycine; Phenylalanine; Tryptophan; Valine","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",1,257,64,295,NA
"1149","Calcium Gluconate Monohydrate; Glutamic Acid; Lysine Acetate; Serine; Tyrosine; N-Acetyltyrosine; Threonine; Cysteine Hydrochloride; Histidine; Arginine; Taurine; Dextrose Monohydrate; Leucine; Methionine; Proline; Aspartic Acid; Isoleucine; Alanine; Glycine; Phenylalanine; Tryptophan; Valine; Heparin Sodium","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",1,257,64,295,NA
"1150","Calcium Gluconate Monohydrate; Lysine Acetate; Serine; Tyrosine; N-Acetyltyrosine; Threonine; Cysteine Hydrochloride; Histidine; Arginine; Taurine; Dextrose Monohydrate; Leucine; Methionine; Glutamic Acid; Proline; Aspartic Acid; Isoleucine; Alanine; Glycine; Phenylalanine; Tryptophan; Valine","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",1,257,64,295,NA
"1151","Citric Acid Monohydrate; Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose; Sodium Chloride; Tromethamine; Potassium Chloride; Dextrose Monohydrate; Trisodium Citrate Dihydrate","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",1,257,64,295,NA
"1152","Citric Acid Monohydrate; Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose; Trisodium Citrate Dihydrate; Sodium Chloride; Tromethamine; Potassium Chloride; Dextrose Monohydrate","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",1,257,64,295,NA
"1153","Citric Acid Monohydrate; Trisodium Citrate Dihydrate; Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose; Aspartic Acid; Tromethamine; Glutamic Acid; Dextrose Monohydrate","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",1,257,64,295,NA
"1154","Citric Acid Monohydrate; Trisodium Citrate Dihydrate; Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose; Dextrose Monohydrate; Potassium Chloride; Aspartic Acid; Tromethamine; Glutamic Acid; Magnesium Sulfate Heptahydrate","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",1,257,64,295,NA
"1155","Citric Acid Monohydrate; Trisodium Citrate Dihydrate; Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose; Sodium Chloride; Tromethamine; Potassium Chloride","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",1,257,64,295,NA
"1156","Citric Acid Monohydrate; Trisodium Citrate Dihydrate; Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose; Sodium Chloride; Tromethamine; Potassium Chloride; Dextrose Monohydrate","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",1,257,64,295,NA
"1157","Citric Acid Monohydrate; Trisodium Citrate Dihydrate; Sodium Phosphate, Monobasic, Monohydrate; Magnesium Sulfate Heptahydrate; Tromethamine; Potassium Chloride; Dextrose Monohydrate; Anhydrous Dextrose; Sodium Chloride","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",1,257,64,295,NA
"1158","Glutamic Acid; Dextrose Monohydrate; Citric Acid Monohydrate; Trisodium Citrate Dihydrate; Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose; Aspartic Acid; Potassium Chloride; Tromethamine","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",1,257,64,295,NA
"1159","Glutamic Acid; Lysine Acetate; Serine; Tyrosine; N-Acetyltyrosine; Threonine; Cysteine Hydrochloride; Histidine; Arginine; Taurine; Dextrose Monohydrate; Leucine; Methionine; Proline; Aspartic Acid; Isoleucine; Alanine; Glycine; Phenylalanine; Tryptophan; Valine","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",1,257,64,295,NA
"1160","Glutamic Acid; Lysine Acetate; Serine; Tyrosine; N-Acetyltyrosine; Threonine; Cysteine Hydrochloride; Histidine; Arginine; Taurine; Dextrose Monohydrate; Leucine; Methionine; Proline; Aspartic Acid; Isoleucine; Alanine; Glycine; Phenylalanine; Tryptophan; Valine; Calcium Gluconate Monohydrate","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",1,257,64,295,NA
"1161","Glutamic Acid; Lysine Acetate; Serine; Tyrosine; N-Acetyltyrosine; Threonine; Cysteine Hydrochloride; Histidine; Arginine; Taurine; Dextrose Monohydrate; Leucine; Methionine; Proline; Aspartic Acid; Isoleucine; Alanine; Glycine; Phenylalanine; Tryptophan; Valine; Calcium Gluconate Monohydrate; Heparin Sodium","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",1,257,64,295,NA
"1162","Glutamic Acid; Lysine Acetate; Serine; Tyrosine; N-Acetyltyrosine; Threonine; Cysteine Hydrochloride; Histidine; Arginine; Taurine; Dextrose Monohydrate; Leucine; Methionine; Proline; Aspartic Acid; Isoleucine; Alanine; Glycine; Valine; Phenylalanine; Tryptophan","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",1,257,64,295,NA
"1163","Heparin Sodium","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",7,257,64,295,NA
"1164","Heparin Sodium; Calcium Gluconate Monohydrate; Lysine Acetate; Serine; Tyrosine; N-Acetyltyrosine; Threonine; Cysteine Hydrochloride; Histidine; Arginine; Taurine; Dextrose Monohydrate; Leucine; Methionine; Glutamic Acid; Proline; Aspartic Acid; Isoleucine; Alanine; Glycine; Phenylalanine; Tryptophan; Valine","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",1,257,64,295,NA
"1165","Heparin Sodium; Lysine Acetate; Serine; Tyrosine; N-Acetyltyrosine; Threonine; Cysteine Hydrochloride; Histidine; Arginine; Taurine; Dextrose Monohydrate; Leucine; Methionine; Glutamic Acid; Proline; Aspartic Acid; Isoleucine; Alanine; Glycine; Phenylalanine; Tryptophan; Valine","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",1,257,64,295,NA
"1166","Leucine; Methionine; Proline; Aspartic Acid; Isoleucine; Alanine; Glycine; Phenylalanine; Tryptophan; Valine; Heparin Sodium; Lysine Acetate; Serine; Glutamic Acid; Tyrosine; N-Acetyltyrosine; Threonine; Cysteine Hydrochloride; Histidine; Arginine; Taurine; Dextrose Monohydrate; Calcium Gluconate Monohydrate","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",1,257,64,295,NA
"1167","Neostigmine Methylsulfate","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",24,257,64,295,NA
"1168","Oxytocin","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",17,257,64,295,NA
"1169","Potassium Acetate","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",1,257,64,295,NA
"1170","Potassium Chloride; Aspartic Acid; Tromethamine; Glutamic Acid; Dextrose Monohydrate; Citric Acid Monohydrate; Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose; Trisodium Citrate Dihydrate","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",1,257,64,295,NA
"1171","Potassium Chloride; Aspartic Acid; Tromethamine; Glutamic Acid; Dextrose Monohydrate; Citric Acid Monohydrate; Trisodium Citrate Dihydrate; Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",1,257,64,295,NA
"1172","Potassium Chloride; Aspartic Acid; Tromethamine; Glutamic Acid; Dextrose Monohydrate; Trisodium Citrate Dihydrate; Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose; Citric Acid Monohydrate","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",1,257,64,295,NA
"1173","Potassium Phosphate, Dibasic","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",1,257,64,295,NA
"1174","Potassium Phosphate, Dibasic; Potassium Phosphate, Monobasic","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",4,257,64,295,NA
"1175","Sodium Acetate Anhydrous","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",1,257,64,295,NA
"1176","Sodium Bicarbonate","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",13,257,64,295,NA
"1177","Sodium Chloride; Citric Acid Monohydrate; Trisodium Citrate Dihydrate; Anhydrous Dextrose; Tromethamine; Potassium Chloride; Sodium Phosphate, Monobasic, Monohydrate; Dextrose Monohydrate","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",1,257,64,295,NA
"1178","Sodium Chloride; Magnesium Sulfate Heptahydrate; Potassium Chloride; Dextrose Monohydrate; Calcium Chloride","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",1,257,64,295,NA
"1179","Sodium Chloride; Magnesium Sulfate Heptahydrate; Potassium Chloride; Sodium Bicarbonate; Calcium Chloride","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",1,257,64,295,NA
"1180","Sodium Chloride; Sodium Gluconate; Magnesium Chloride; Sodium Acetate; Potassium Chloride; Mannitol; Magnesium Sulfate Heptahydrate; Tromethamine; Dextrose Monohydrate","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",1,257,64,295,NA
"1181","Sodium Chloride; Sodium Gluconate; Sodium Acetate; Potassium Chloride; Magnesium Chloride; Dextrose Monohydrate; Lidocaine Hydrochloride; Sodium Bicarbonate; Calcium Chloride","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",1,257,64,295,NA
"1182","Sodium Chloride; Sodium Gluconate; Sodium Acetate; Potassium Chloride; Magnesium Chloride; Lidocaine Hydrochloride; Sodium Bicarbonate","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",1,257,64,295,NA
"1183","Sodium Chloride; Tromethamine; Potassium Chloride; Dextrose Monohydrate; Citric Acid Monohydrate; Trisodium Citrate Dihydrate; Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",1,257,64,295,NA
"1184","Sodium Chloride; Tromethamine; Potassium Chloride; Dextrose Monohydrate; Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose; Citric Acid Monohydrate; Trisodium Citrate Dihydrate","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",1,257,64,295,NA
"1185","Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose; Citric Acid Monohydrate; Trisodium Citrate Dihydrate; Sodium Chloride; Tromethamine; Potassium Chloride; Dextrose Monohydrate","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",1,257,64,295,NA
"1186","Sodium Phosphate, Monobasic, Monohydrate; Sodium Phosphate, Dibasic, Anhydrous","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",3,257,64,295,NA
"1187","Trisodium Citrate Dihydrate; Sodium Chloride","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",1,257,64,295,NA
"1188","Trisodium Citrate Dihydrate; Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose; Sodium Chloride; Tromethamine; Potassium Chloride; Dextrose Monohydrate; Citric Acid Monohydrate","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",1,257,64,295,NA
"1189","Tromethamine","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",1,257,64,295,NA
"1190","Valine; Calcium Gluconate Monohydrate; Heparin Sodium; Glutamic Acid; Lysine Acetate; Serine; Tyrosine; N-Acetyltyrosine; Threonine; Cysteine Hydrochloride; Histidine; Arginine; Taurine; Dextrose Monohydrate; Leucine; Methionine; Proline; Aspartic Acid; Isoleucine; Alanine; Glycine; Phenylalanine; Tryptophan","solution","Central Admixture Pharmacy Services, Inc.","InfusionTherapy",1,257,64,295,NA
"1191","Anastrozole","capsule","Complete Pharmacy and Medical Solutions","InfusionTherapy",3,149,11,295,NA
"1192","Ascorbic Acid","injection, powder, for solution","Complete Pharmacy and Medical Solutions","InfusionTherapy",10,149,11,295,NA
"1193","Edetate Disodium","solution","Complete Pharmacy and Medical Solutions","InfusionTherapy",6,149,11,295,NA
"1194","Hydroxocobalamin","injection, powder, for solution","Complete Pharmacy and Medical Solutions","InfusionTherapy",4,149,11,295,NA
"1195","Neostigmine Methylsulfate","injection, powder, for solution","Complete Pharmacy and Medical Solutions","InfusionTherapy",24,149,11,295,NA
"1196","Progesterone","capsule","Complete Pharmacy and Medical Solutions","InfusionTherapy",10,149,11,295,NA
"1197","Neostigmine Methylsulfate","injection, solution","Denver Solutions, LLC dba Leiters Health","InfusionTherapy",24,66,2,295,NA
"1198","Sodium Bicarbonate","injection, solution","Denver Solutions, LLC dba Leiters Health","InfusionTherapy",13,66,2,295,NA
"1199","Brompheniramine Maleate","injection, solution","Eagle Pharmacy, Inc.","InfusionTherapy",2,13,2,295,NA
"1200","Thiamine Hydrochloride; Methionine; Choline Chloride; Cyanocobalamin; Inositol","injection, solution","Eagle Pharmacy, Inc.","InfusionTherapy",1,13,2,295,NA
"1201","Cyanocobalamin","injection, solution","Edge Pharmacy Services LLC","InfusionTherapy",7,142,7,295,"Y"
"1202","Edetate Calcium Disodium","solution","Edge Pharmacy Services LLC","InfusionTherapy",3,142,7,295,NA
"1203","Mitomycin","solution","Edge Pharmacy Services LLC","InfusionTherapy",6,142,7,295,NA
"1204","Mitomycin","injection, solution","Edge Pharmacy Services LLC","InfusionTherapy",6,142,7,295,NA
"1205","Neostigmine Methylsulfate","injection, solution","Edge Pharmacy Services LLC","InfusionTherapy",24,142,7,295,NA
"1206","Trisodium Citrate Dihydrate","injection, solution","Edge Pharmacy Services LLC","InfusionTherapy",7,142,7,295,NA
"1207",".alpha.-Lipoic Acid","injection","Empower Pharmacy","InfusionTherapy",4,87,14,295,NA
"1208","Ascorbic Acid","injection","Empower Pharmacy","InfusionTherapy",10,87,14,295,NA
"1209","Benzyl Alcohol","injection","Empower Pharmacy","InfusionTherapy",1,87,14,295,NA
"1210","Cyanocobalamin","injection","Empower Pharmacy","InfusionTherapy",7,87,14,295,"Y"
"1211","Disodium Nicotinamide Adenine Dinucleotide","injection","Empower Pharmacy","InfusionTherapy",2,87,14,295,NA
"1212","Edetate Disodium","injection","Empower Pharmacy","InfusionTherapy",6,87,14,295,NA
"1213","Glutathione","injection","Empower Pharmacy","InfusionTherapy",10,87,14,295,NA
"1214","Levocarnitine","injection","Empower Pharmacy","InfusionTherapy",3,87,14,295,NA
"1215","Progesterone","injection","Empower Pharmacy","InfusionTherapy",10,87,14,295,NA
"1216","Pyridoxine Hydrochloride","injection","Empower Pharmacy","InfusionTherapy",6,87,14,295,NA
"1217","Sodium Bicarbonate","injection","Empower Pharmacy","InfusionTherapy",13,87,14,295,NA
"1218","Taurine","injection","Empower Pharmacy","InfusionTherapy",6,87,14,295,NA
"1219","Thiamine Hydrochloride; Riboflavin 5'-Phosphate Sodium; Dexpanthenol; Pyridoxine Hydrochloride; Niacinamide","injection","Empower Pharmacy","InfusionTherapy",1,87,14,295,NA
"1220","Neostigmine Methylsulfate","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC","InfusionTherapy",24,57,3,295,NA
"1221","Sodium Thiosulfate","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC","InfusionTherapy",2,57,3,295,NA
"1222","Oxytocin","injection","Fresenius Kabi Compounding, LLC","InfusionTherapy",17,14,2,295,NA
"1223","Potassium Chloride","injection","Fresenius Kabi Compounding, LLC","InfusionTherapy",9,14,2,295,NA
"1224","Biotin","injection, suspension","Fusion IV Pharmaceuticals, Inc. dba Axia Pharmaceuticals","InfusionTherapy",5,61,5,295,NA
"1225","Cholecalciferol","injection, solution","Fusion IV Pharmaceuticals, Inc. dba Axia Pharmaceuticals","InfusionTherapy",4,61,5,295,NA
"1226","Hydroxocobalamin","injection, solution","Fusion IV Pharmaceuticals, Inc. dba Axia Pharmaceuticals","InfusionTherapy",4,61,5,295,NA
"1227","Methadone Hydrochloride","injection, solution","Fusion IV Pharmaceuticals, Inc. dba Axia Pharmaceuticals","InfusionTherapy",7,61,5,295,NA
"1228","Mitomycin","injection, solution","Fusion IV Pharmaceuticals, Inc. dba Axia Pharmaceuticals","InfusionTherapy",6,61,5,295,NA
"1229","Ascorbic Acid","injection","Hybrid Pharma","InfusionTherapy",10,46,3,295,NA
"1230","Cyanocobalamin","injection","Hybrid Pharma","InfusionTherapy",7,46,3,295,"Y"
"1231","Progesterone","capsule","Hybrid Pharma","InfusionTherapy",10,46,3,295,NA
"1232","Cyclosporine","emulsion","Imprimis NJOF, LLC","InfusionTherapy",2,49,1,295,NA
"1233","Neostigmine Methylsulfate","injection","IntegraDose Compounding Services, LLC","InfusionTherapy",24,28,4,295,NA
"1234","Oxytocin","injection","IntegraDose Compounding Services, LLC","InfusionTherapy",17,28,4,295,NA
"1235","Potassium Chloride; Lidocaine Hydrochloride","injection, solution","IntegraDose Compounding Services, LLC","InfusionTherapy",2,28,4,295,NA
"1236","Vasopressin, Unspecified","injection","IntegraDose Compounding Services, LLC","InfusionTherapy",5,28,4,295,NA
"1237","Edetate Disodium","solution","JCB Laboratories LLC","InfusionTherapy",6,54,4,295,NA
"1238","Mitomycin","injection","JCB Laboratories LLC","InfusionTherapy",6,54,4,295,NA
"1239","Mitomycin","irrigant","JCB Laboratories LLC","InfusionTherapy",6,54,4,295,NA
"1240","Sodium Thiosulfate","injection","JCB Laboratories LLC","InfusionTherapy",2,54,4,295,NA
"1241","Trisodium Citrate Dihydrate","injection","JCB Laboratories LLC","InfusionTherapy",7,54,4,295,NA
"1242",".alpha.-Lipoic Acid","injection","KRS Global Biotechnology, Inc.","InfusionTherapy",4,107,9,295,NA
"1243","Anastrozole","capsule","KRS Global Biotechnology, Inc.","InfusionTherapy",3,107,9,295,NA
"1244","Ascorbic Acid","injection","KRS Global Biotechnology, Inc.","InfusionTherapy",10,107,9,295,NA
"1245","Asparaginase","injection, powder, lyophilized, for solution","KRS GLOBAL BIOTECHNOLOGY, INC.","InfusionTherapy",2,101,7,295,NA
"1246","Cholecalciferol","suspension","KRS GLOBAL BIOTECHNOLOGY, INC.","InfusionTherapy",4,101,7,295,NA
"1247","Cholecalciferol","tablet","KRS GLOBAL BIOTECHNOLOGY, INC.","InfusionTherapy",4,101,7,295,NA
"1248","Cyanocobalamin","solution","KRS GLOBAL BIOTECHNOLOGY, INC.","InfusionTherapy",7,101,7,295,"Y"
"1249","Glutathione","injection, solution","KRS Global Biotechnology, Inc.","InfusionTherapy",10,107,9,295,NA
"1250","Hydroxocobalamin","injection, solution","KRS Global Biotechnology, Inc.","InfusionTherapy",4,107,9,295,NA
"1251","Neostigmine Methylsulfate","injection, solution","KRS GLOBAL BIOTECHNOLOGY, INC.","InfusionTherapy",24,101,7,295,NA
"1252","Oxytocin","tablet, orally disintegrating","KRS GLOBAL BIOTECHNOLOGY, INC.","InfusionTherapy",17,101,7,295,NA
"1253","Oxytocin","injection, solution","KRS GLOBAL BIOTECHNOLOGY, INC.","InfusionTherapy",17,101,7,295,NA
"1254","Progesterone","cream","KRS Global Biotechnology, Inc.","InfusionTherapy",10,107,9,295,NA
"1255","Progesterone","capsule, extended release","KRS Global Biotechnology, Inc.","InfusionTherapy",10,107,9,295,NA
"1256","Progesterone","capsule","KRS Global Biotechnology, Inc.","InfusionTherapy",10,107,9,295,NA
"1257","Pyridoxine Hydrochloride","injection, solution","KRS Global Biotechnology, Inc.","InfusionTherapy",6,107,9,295,NA
"1258","Sodium Bicarbonate","injection, solution","KRS GLOBAL BIOTECHNOLOGY, INC.","InfusionTherapy",13,101,7,295,NA
"1259","Vasopressin","injection, solution","KRS GLOBAL BIOTECHNOLOGY, INC.","InfusionTherapy",3,101,7,295,NA
"1260","Amiodarone Hydrochloride","solution","LEESAR INC","InfusionTherapy",4,35,4,295,NA
"1261","Azithromycin Anhydrous","solution","LEESAR INC","InfusionTherapy",1,35,4,295,NA
"1262","Heparin Sodium","solution","LEESAR INC","InfusionTherapy",7,35,4,295,NA
"1263","Oxytocin","solution","LEESAR INC","InfusionTherapy",17,35,4,295,NA
"1264","Edetate Disodium","solution/ drops","Leiter's Compounding","InfusionTherapy",6,22,2,295,NA
"1265","Mitomycin","solution","Leiter's Compounding","InfusionTherapy",6,22,2,295,NA
"1266","Neostigmine Methylsulfate","injection, solution","Medi-Fare Drug","InfusionTherapy",24,62,2,295,NA
"1267","Potassium Chloride","injection, solution, concentrate","Medi-Fare Drug","InfusionTherapy",9,62,2,295,NA
"1268","Calcium Chloride","injection, solution","Nephron Sterile Compounding Center, LLC","InfusionTherapy",5,97,7,295,NA
"1269","Neostigmine Methylsulfate","injection, solution","Nephron Sterile Compounding Center, LLC","InfusionTherapy",24,97,7,295,NA
"1270","Potassium Chloride","injection, solution","Nephron Sterile Compounding Center, LLC","InfusionTherapy",9,97,7,295,NA
"1271","Potassium Chloride; Sodium Bicarbonate; Lidocaine Hydrochloride","injection, solution","Nephron Sterile Compounding Center, LLC","InfusionTherapy",1,97,7,295,NA
"1272","Sodium Bicarbonate","injection, solution","Nephron Sterile Compounding Center, LLC","InfusionTherapy",13,97,7,295,NA
"1273","Sodium Citrate","injection, solution","Nephron Sterile Compounding Center, LLC","InfusionTherapy",1,97,7,295,NA
"1274","Trisodium Citrate Dihydrate","injection, solution","Nephron Sterile Compounding Center, LLC","InfusionTherapy",7,97,7,295,NA
"1275","Neostigmine Methylsulfate","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","InfusionTherapy",24,55,5,295,NA
"1276",".alpha.-Lipoic Acid","injection, solution","OLYMPIA PHARMACY","InfusionTherapy",4,71,9,295,NA
"1277","Ascorbic Acid","injection, solution","OLYMPIA PHARMACY","InfusionTherapy",10,71,9,295,NA
"1278","Biotin","injection, solution","OLYMPIA PHARMACY","InfusionTherapy",5,71,9,295,NA
"1279","Cyanocobalamin","injection, solution","OLYMPIA PHARMACY","InfusionTherapy",7,71,9,295,"Y"
"1280","Glutathione","injection, solution","OLYMPIA PHARMACY","InfusionTherapy",10,71,9,295,NA
"1281","Hydroxocobalamin","injection, solution","OLYMPIA PHARMACY","InfusionTherapy",4,71,9,295,NA
"1282","Levocarnitine","injection, solution","OLYMPIA PHARMACY","InfusionTherapy",3,71,9,295,NA
"1283","Sodium Bicarbonate","injection, solution","OLYMPIA PHARMACY","InfusionTherapy",13,71,9,295,NA
"1284","Progesterone","capsule","Pacifico National, Inc.  dba AmEx Pharmacy","InfusionTherapy",10,175,1,295,NA
"1285","Progesterone","gel","Pacifico National, Inc.  dba AmEx Pharmacy","InfusionTherapy",10,175,1,295,NA
"1286","Progesterone","cream","Pacifico National, Inc.  dba AmEx Pharmacy","InfusionTherapy",10,175,1,295,NA
"1287","Progesterone","troche","Pacifico National, Inc.  dba AmEx Pharmacy","InfusionTherapy",10,175,1,295,NA
"1288","Amiodarone Hydrochloride","injection","PharMEDium Services, LLC SugarLand","InfusionTherapy",4,64,9,295,NA
"1289","Heparin Sodium","injection","PharMEDium Services, LLC SugarLand","InfusionTherapy",7,64,9,295,NA
"1290","Methadone Hydrochloride","injection","Pharmedium Services, LLC Cleveland","InfusionTherapy",7,63,2,295,NA
"1291","Methadone Hydrochloride","injection","Pharmedium Services, LLC, Dayton","InfusionTherapy",7,81,8,295,NA
"1292","Neostigmine Methylsulfate","injection","Pharmedium Services, LLC, Dayton","InfusionTherapy",24,81,8,295,NA
"1293","Neostigmine Methylsulfate","injection","PharMEDium Services, LLC SugarLand","InfusionTherapy",24,64,9,295,NA
"1294","Neostigmine Methylsulfate","injection","Pharmedium Services, LLC Cleveland","InfusionTherapy",24,63,2,295,NA
"1295","Oxytocin","injection","PharMEDium Services, LLC SugarLand","InfusionTherapy",17,64,9,295,NA
"1296","Oxytocin","injection","Pharmedium Services, LLC, Dayton","InfusionTherapy",17,81,8,295,NA
"1297","Potassium Chloride","injection","Pharmedium Services, LLC, Dayton","InfusionTherapy",9,81,8,295,NA
"1298","Potassium Chloride; Lidocaine Hydrochloride","injection","PharMEDium Services, LLC SugarLand","InfusionTherapy",2,64,9,295,NA
"1299","Potassium Phosphate, Dibasic; Potassium Phosphate, Monobasic","injection","PharMEDium Services, LLC SugarLand","InfusionTherapy",4,64,9,295,NA
"1300","Potassium Phosphate, Dibasic; Potassium Phosphate, Monobasic","injection","Pharmedium Services, LLC, Dayton","InfusionTherapy",4,81,8,295,NA
"1301","Sodium Phosphate, Monobasic, Monohydrate; Sodium Phosphate, Dibasic, Anhydrous","injection","Pharmedium Services, LLC, Dayton","InfusionTherapy",3,81,8,295,NA
"1302","Sodium Phosphate, Monobasic, Monohydrate; Sodium Phosphate, Dibasic, Anhydrous","injection","PharMEDium Services, LLC SugarLand","InfusionTherapy",3,64,9,295,NA
"1303","Trisodium Citrate Dihydrate","injection","PharMEDium Services, LLC SugarLand","InfusionTherapy",7,64,9,295,NA
"1304","Trisodium Citrate Dihydrate","injection","Pharmedium Services, LLC, Dayton","InfusionTherapy",7,81,8,295,NA
"1305","Vasopressin, Unspecified","injection","PharMEDium Services, LLC SugarLand","InfusionTherapy",5,64,9,295,NA
"1306","Vasopressin, Unspecified","injection","Pharmedium Services, LLC, Dayton","InfusionTherapy",5,81,8,295,NA
